"Points:0","Points:1","Points:2"
-60.041,-70.484,20
-59.761,-70.876,20
-58.27,-72.962,20
17.185,-94.804,20
20.012,-94.007,20
16.604,-94.924,20
41.279,-85.747,20
43.703,-84.076,20
65.061,53.439,20
64.321,55.62,20
-43.357,72.568,20
-43.491,72.389,20
-74.607,-23.973,20
-74.649,-25.809,20
-71.583,1.5467,20
-71.657,1.0722,20
-10.184,-96.266,20
-9.1536,-96.358,20
72.37,-44.937,20
72.992,-43.341,20
60.212,-68.355,20
62.058,-65.808,20
59.187,66.831,20
57.667,69.571,20
59.327,66.573,20
-50.668,-80.798,20
-49.238,-81.928,20
51.535,-78.198,20
51.577,-78.158,20
53.819,-75.855,20
69.13,40.768,20
68.453,43.45,20
-50.893,59.392,20
-51.596,57.829,20
-50.286,60.746,20
-74.293,-35.69,20
-74.191,-37.051,20
-74.013,-38.915,20
-73.368,-8.956,20
-73.625,-11.012,20
-73.757,-12.341,20
3.8684,-96.401,20
5.8642,-96.333,20
75.002,-34.633,20
75.376,-32.216,20
75.427,-31.764,20
67.003,-57.619,20
67.221,-57.176,20
68.342,-54.773,20
45.388,85.138,20
44.129,86.296,20
15.567,97.929,20
11.596,98.33,20
-55.869,-75.926,20
-54.2,-77.684,20
46.395,-82.205,20
46.569,-82.089,20
49.088,-80.338,20
70.964,34.631,20
70.275,36.884,20
-47.24,66.655,20
-48.179,64.962,20
-74.632,-29.134,20
-74.595,-30.533,20
-74.504,-32.425,20
-72.288,-2.2427,20
-72.746,-4.6544,20
-72.908,-5.5855,20
-3.0928,-96.589,20
-1.5992,-96.57,20
73.893,-40.456,20
74.307,-38.65,20
74.492,-37.533,20
63.828,-63.151,20
63.952,-62.953,20
65.475,-60.412,20
-63.445,29.95,20
-63.934,28.611,20
-61.855,33.926,20
-62.453,32.626,20
-61.303,35.241,20
-59.763,39.066,20
-60.155,37.959,20
-59.096,40.902,20
-57.726,44.233,20
-57.86,43.903,20
-57.075,45.839,20
-64.426,27.28,20
76.285,-2.5614,20
76.136,-0.64147,20
76.391,-6.5749,20
76.36,-5.3484,20
76.342,-8.1232,20
76.411,-12.231,20
76.37,-10.916,20
76.46,-13.759,20
76.446,-17.745,20
76.481,-16.671,20
76.324,-19.638,20
62.509,60.193,20
61.225,63.017,20
62.869,59.343,20
31.842,93.828,20
29.124,94.786,20
39.196,90.188,20
37.152,91.425,20
-2.0532,97.887,20
-6.2796,97.295,20
6.939,98.46,20
4.0326,98.342,20
-70.294,7.8976,20
-70.378,7.602,20
-70.385,7.572,20
-44.762,-85.095,20
-43.7,-85.733,20
56.065,-73.464,20
56.085,-73.441,20
58.152,-70.955,20
66.923,48.19,20
66.266,50.093,20
75.487,5.6021,20
75.456,5.9815,20
75.743,3.104,20
75.813,2.4292,20
-52.848,54.967,20
-53.414,53.7,20
-54.134,52.205,20
-19.105,92.883,20
-19.216,92.832,20
-23.292,90.678,20
-26.488,88.647,20
-27.179,88.136,20
-30.8,85.222,20
-32.761,83.517,20
-34.227,82.119,20
-37.522,78.976,20
-38.371,78.111,20
-40.647,75.776,20
-41.007,75.395,20
-73.514,-42.076,20
-73.224,-43.377,20
-72.773,-45.152,20
-74.079,-15.721,20
-74.19,-17.482,20
-74.311,-19.088,20
10.661,-95.894,20
13.098,-95.583,20
76.028,-23.278,20
76.07,-22.671,20
75.614,-28.906,20
75.653,-28.29,20
69.575,-51.919,20
69.926,-51.105,20
70.759,-49.07,20
52.596,76.877,20
50.629,79.379,20
19.737,97.168,20
16.113,97.847,20
20.547,96.993,20
23.841,96.233,20
47.171,83.279,20
48.104,82.315,20
49.994,80.143,20
-65.45,24.63,20
-66.064,22.973,20
-58.079,-73.218,20
-56.363,-75.39,20
20.276,-93.936,20
23.189,-92.972,20
43.928,-83.923,20
-45.428,69.633,20
-45.993,68.739,20
-74.673,-27.256,20
-72.159,-1.5434,20
-6.6204,-96.544,20
-5.3932,-96.591,20
73.497,-41.837,20
62.136,-65.696,20
-10.684,96.238,20
-10.934,96.163,20
57.364,70.109,20
57.335,70.157,20
60.957,63.541,20
33.243,93.32,20
-67.897,16.994,20
-68.079,16.295,20
-68.657,13.901,20
-68.787,13.383,20
-69.482,10.758,20
-47.782,-83.027,20
-46.546,-83.902,20
53.846,-75.827,20
68.155,44.519,20
67.425,46.766,20
-51.809,57.357,20
-73.843,-40.244,20
-73.932,-14.24,20
7.3089,-96.265,20
9.5125,-96.045,20
75.606,-28.984,20
68.614,-54.149,20
53.004,76.351,20
55.037,73.546,20
55.245,73.256,20
40.797,89.063,20
42.428,87.791,20
7.0466,98.461,20
11.288,98.349,20
-66.41,21.92,20
-67.04,20.025,20
-67.291,19.146,20
-53.375,-78.43,20
-51.79,-79.843,20
49.181,-80.27,20
70.199,37.124,20
69.297,40.142,20
-48.848,63.688,20
-50.093,61.151,20
-74.414,-33.807,20
-73.238,-7.8121,20
0.39652,-96.495,20
2.1707,-96.43,20
74.881,-35.424,20
65.651,-60.111,20
-62.934,31.304,20
-60.744,36.498,20
-58.815,41.648,20
-56.653,46.876,20
-56.564,47.095,20
-64.97,25.831,20
-61.702,-67.976,20
-60.075,-70.436,20
-61.936,-67.65,20
-63.346,-65.498,20
-63.72,-64.905,20
-64.847,-62.954,20
-65.305,-62.12,20
-66.285,-60.361,20
-66.837,-59.379,20
-67.782,-57.787,20
-68.356,-56.703,20
-69.171,-55.13,20
-69.679,-53.935,20
-70.321,-52.318,20
-70.805,-51.048,20
-71.375,-49.419,20
38.54,-87.36,20
41.031,-85.904,20
38.278,-87.503,20
35.698,-88.794,20
35.438,-88.92,20
32.76,-90.103,20
32.518,-90.188,20
29.708,-91.137,20
29.488,-91.191,20
26.551,-91.977,20
26.389,-92.019,20
23.318,-92.93,20
23.308,-92.933,20
76.331,-3.6476,20
76.361,-9.4345,20
76.499,-14.992,20
71.256,33.673,20
71.281,33.567,20
71.959,30.441,20
72.076,29.914,20
